Timestamp,X,Y,Z
2025-05-14T12:48:26.628Z,-2.46,1.19,9.32
2025-05-14T12:48:26.660Z,-2.36,1.41,9.22
2025-05-14T12:48:26.691Z,-2.46,1,9.14
2025-05-14T12:48:26.725Z,-2.22,1.32,9.22
2025-05-14T12:48:26.761Z,-2.32,1.33,9.24
2025-05-14T12:48:26.792Z,-2.35,1.26,9.59
2025-05-14T12:48:26.827Z,-2.45,1.27,9.38
2025-05-14T12:48:26.861Z,-1.4,0.02,9.54
2025-05-14T12:48:26.894Z,-2.01,0.96,9.5
2025-05-14T12:48:26.927Z,-2.85,1.48,10.01
2025-05-14T12:48:26.961Z,-4.86,2.67,10.15
2025-05-14T12:48:26.993Z,-8.72,2.93,9.91
2025-05-14T12:48:27.027Z,-11.85,2.97,12.71
2025-05-14T12:48:27.060Z,-10.17,4.04,12.05
2025-05-14T12:48:27.094Z,3.46,0.94,19.61
2025-05-14T12:48:27.127Z,4.12,6.29,12.45
2025-05-14T12:48:27.160Z,0.3,4.58,9.3
2025-05-14T12:48:27.192Z,-1.24,5.35,8.99
2025-05-14T12:48:27.225Z,-1.39,1.48,8.78
2025-05-14T12:48:27.258Z,-1.41,-2.18,8.88
2025-05-14T12:48:27.293Z,-6.03,0.09,12.78
2025-05-14T12:48:27.326Z,-5.07,0.94,11.8
2025-05-14T12:48:27.359Z,-5.28,2.82,12.14
2025-05-14T12:48:27.392Z,-12.98,0.53,19.61
2025-05-14T12:48:27.426Z,-13.04,-4.6,15.01
2025-05-14T12:48:27.459Z,-16.96,-0.6,8.51
2025-05-14T12:48:27.491Z,-19.61,-15.02,-2.02
2025-05-14T12:48:27.526Z,-18.93,-5.23,-5.24
2025-05-14T12:48:27.560Z,-14,-1.26,5
2025-05-14T12:48:27.593Z,2.37,10.56,12.32
2025-05-14T12:48:27.626Z,-1.33,2.94,7.9
2025-05-14T12:48:27.659Z,-3.93,3.7,11.04
2025-05-14T12:48:27.692Z,-8.2,-3.19,15.29
2025-05-14T12:48:27.727Z,-3.1,2.39,10.62
2025-05-14T12:48:27.760Z,-2.74,1.64,10.71
2025-05-14T12:48:27.792Z,-2.43,1.54,9.33
2025-05-14T12:48:27.825Z,-2.31,1.38,9.33
2025-05-14T12:48:27.859Z,-2.37,1.37,9.18
2025-05-14T12:48:27.891Z,-2.26,1.77,9.1
2025-05-14T12:48:27.926Z,-2.37,1.45,9.19
2025-05-14T12:48:27.959Z,-2.49,1.36,9.11
2025-05-14T12:48:27.992Z,-2.33,1.26,9.16
2025-05-14T12:48:28.025Z,-2.55,1.28,9.09
2025-05-14T12:48:28.058Z,-2.54,1,9.09
2025-05-14T12:48:28.093Z,-2.44,1.09,9.26
2025-05-14T12:48:28.126Z,-2.44,1.11,9.16
2025-05-14T12:48:28.161Z,-2.38,1.27,9.28
2025-05-14T12:48:28.192Z,-2.27,1.41,9.22
2025-05-14T12:48:28.226Z,-2.71,1.02,9.46
2025-05-14T12:48:28.258Z,-2.52,1.92,9.37
2025-05-14T12:48:28.291Z,-2.04,0.76,10.08
2025-05-14T12:48:28.323Z,-2.4,0.5,10.74
2025-05-14T12:48:28.358Z,-5.27,4.29,10.88
2025-05-14T12:48:28.390Z,-9.33,4.05,13.08
2025-05-14T12:48:28.424Z,-7.13,4.06,14.1
2025-05-14T12:48:28.457Z,-2.79,1.93,17.43
2025-05-14T12:48:28.490Z,3.36,6.83,9.9
2025-05-14T12:48:28.523Z,1.59,6.22,9.2
2025-05-14T12:48:28.558Z,0.76,-5.32,10.64
2025-05-14T12:48:28.593Z,-0.36,-4.97,11.65
2025-05-14T12:48:28.624Z,-2.9,-2.95,12.63
2025-05-14T12:48:28.659Z,-2.37,-0.49,8.92
2025-05-14T12:48:28.691Z,-5.52,-1.77,14.42
2025-05-14T12:48:28.726Z,-10.51,-0.66,19.61
2025-05-14T12:48:28.757Z,-11.99,1.23,16.29
2025-05-14T12:48:28.790Z,-16.29,-1.37,7.37
2025-05-14T12:48:28.823Z,-19.61,-8.82,-1.81
2025-05-14T12:48:28.857Z,-17.68,-3.11,-5.18
2025-05-14T12:48:28.891Z,19.61,-19.61,-1.12
2025-05-14T12:48:28.923Z,-0.72,8,16.24
2025-05-14T12:48:28.958Z,-4.1,4.66,7.97
2025-05-14T12:48:28.991Z,-3.87,2.47,11.89
2025-05-14T12:48:29.024Z,-3.17,-1.67,13.57
2025-05-14T12:48:29.057Z,-3.16,2.24,10.75
2025-05-14T12:48:29.091Z,-2.7,2.13,10.31
2025-05-14T12:48:29.125Z,-2.3,2.1,9.45
2025-05-14T12:48:29.158Z,-2.36,1.96,9.37
2025-05-14T12:48:29.190Z,-2.35,2.72,8.24
2025-05-14T12:48:29.223Z,-2.07,2.65,7.96
2025-05-14T12:48:29.257Z,-1.62,2.61,6.79
2025-05-14T12:48:29.290Z,-2.28,2.34,8.84
2025-05-14T12:48:29.324Z,-2.5,2.13,8.98
2025-05-14T12:48:29.357Z,-2.37,2.03,8.75
2025-05-14T12:48:29.392Z,-2.04,2.8,8.54
2025-05-14T12:48:29.425Z,-2.63,2.12,8.84
2025-05-14T12:48:29.458Z,-2.38,0.78,9.82
2025-05-14T12:48:29.491Z,-2.54,0.55,9.65
2025-05-14T12:48:29.524Z,-2.2,1.19,9.34
2025-05-14T12:48:29.558Z,-1.8,0.41,9.21
2025-05-14T12:48:29.590Z,-2.32,1.17,9.71
2025-05-14T12:48:29.625Z,-2.28,0.38,10.2
2025-05-14T12:48:29.657Z,-5.73,2.61,11.66
2025-05-14T12:48:29.690Z,-11.3,3.42,14.08
2025-05-14T12:48:29.723Z,-10.36,6.24,18.47
2025-05-14T12:48:29.756Z,4.18,8.48,18.93
2025-05-14T12:48:29.789Z,10.83,3.94,7.47
2025-05-14T12:48:29.824Z,1.1,8.11,11.04
2025-05-14T12:48:29.856Z,-0.22,4.75,9.57
2025-05-14T12:48:29.891Z,-0.92,2.48,8.81
2025-05-14T12:48:29.925Z,-2.67,2.78,9.57
2025-05-14T12:48:29.956Z,-3.15,2.93,9.68
2025-05-14T12:48:29.991Z,-5.78,3.17,14.59
2025-05-14T12:48:30.024Z,-7.24,3.45,15.36
2025-05-14T12:48:30.058Z,-10.41,0.4,12.32
2025-05-14T12:48:30.088Z,-15.79,-0.59,17.32
2025-05-14T12:48:30.121Z,-16.26,0.86,9.33
2025-05-14T12:48:30.156Z,-18.84,-4.1,-0.64
2025-05-14T12:48:30.189Z,-19.09,-2.03,-1.44
2025-05-14T12:48:30.222Z,-19.61,0.8,4.23
2025-05-14T12:48:30.255Z,2.33,8.38,14.47
2025-05-14T12:48:30.289Z,-10.11,-7.41,19.61
2025-05-14T12:48:30.324Z,-5.07,11.54,12.93
2025-05-14T12:48:30.357Z,-3.56,2.4,11.08
2025-05-14T12:48:30.390Z,-2.83,1.91,10.42
2025-05-14T12:48:30.422Z,-2.38,1.81,9.42
2025-05-14T12:48:30.457Z,-2.61,1.62,9.5
2025-05-14T12:48:30.490Z,-2.45,1.89,9.5
2025-05-14T12:48:30.522Z,-2.32,1.96,9.11
2025-05-14T12:48:30.554Z,-2.32,2.09,9.03
2025-05-14T12:48:30.588Z,-2.52,1.73,9.32
2025-05-14T12:48:30.621Z,-2.44,1.68,9.22
2025-05-14T12:48:30.654Z,-2.22,1.97,9
2025-05-14T12:48:30.689Z,-2.32,1.75,8.98
